speech_recognition,start,end,max_confidence,mean_confidence
speech,4.25,5.3,0.944542646408081,0.9201218485832214
speech,8.25,17.3,0.9999939203262329,0.9999433159828186
speech,18.25,37.3,1.0,1.0
speech,37.57,37.93,0.8080829381942749,0.8080828189849854
speech,38.25,78.3,1.0,1.0
speech,78.57,78.92999999999999,0.8204173445701599,0.8204173445701599
speech,79.25,98.3,0.9159622192382812,0.8815931081771851
speech,99.25,117.3,0.9999983310699463,0.9999340176582336
speech,117.57,163.3,0.8273306488990784,0.8265194892883301
speech,164.25,166.3,1.0,1.0
speech,167.25,182.3,0.9999998807907104,0.9999819397926331
speech,182.57,234.93,0.8411605358123779,0.8226287961006165
speech,235.25,240.93,1.0,1.0
speech,241.25,286.3,0.9987769722938538,0.9954472184181213
speech,286.57,286.93,0.8276897072792053,0.8276898264884949
speech,287.25,305.3,0.9790592193603516,0.9629146456718445
speech,305.57,325.3,0.8158056139945984,0.8090837001800537
speech,325.89,349.3,0.8201776742935181,0.8201776146888733
speech,349.57,367.3,0.8729444742202759,0.8690358996391296
speech,371.25,372.3,0.902680516242981,0.8804707527160645
