speech_recognition,start,end,max_confidence,mean_confidence
speech,2.25,4.3,1.0,1.0
speech,7.57,7.93,1.0,1.0
speech,11.25,13.930000000000001,1.0,1.0
speech,31.25,32.3,1.0,1.0
speech,36.25,37.93,1.0,1.0
speech,38.25,38.93,1.0,1.0
speech,40.25,41.3,1.0,1.0
speech,42.25,44.3,1.0,1.0
speech,47.25,51.3,1.0,1.0
speech,56.25,57.3,1.0,1.0
speech,58.25,59.3,1.0,1.0
speech,61.25,62.3,1.0,1.0
speech,65.25,65.92999999999999,1.0,1.0
speech,75.25,76.3,1.0,1.0
speech,78.25,79.3,1.0,1.0
speech,83.25,84.3,1.0,1.0
speech,90.25,90.92999999999999,1.0,1.0
speech,93.25,93.92999999999999,1.0,1.0
speech,94.25,95.3,1.0,1.0
speech,95.57,95.92999999999999,1.0,1.0
speech,100.25,100.92999999999999,1.0,1.0
speech,105.25,105.92999999999999,1.0,1.0
speech,111.25,112.3,1.0,1.0
speech,113.25,114.3,1.0,1.0
speech,120.57,120.92999999999999,1.0,1.0
speech,131.25,132.93,1.0,1.0
speech,134.25,135.3,1.0,1.0
speech,140.25,140.93,1.0,1.0
speech,156.25,157.3,1.0,1.0
speech,165.25,166.3,1.0,1.0
speech,171.25,172.3,1.0,1.0
speech,173.25,173.93,1.0,1.0
speech,190.25,190.93,1.0,1.0
speech,195.25,195.93,1.0,1.0
speech,198.25,199.3,1.0,1.0
speech,207.25,208.3,1.0,1.0
speech,209.25,210.3,1.0,1.0
speech,215.25,216.93,1.0,1.0
speech,219.57,219.93,1.0,1.0
speech,223.25,224.3,1.0,1.0
speech,226.25,226.93,1.0,1.0
speech,229.25,229.93,1.0,1.0
speech,236.25,237.3,1.0,1.0
speech,238.57,238.93,1.0,1.0
speech,240.25,240.93,1.0,1.0
speech,272.25,272.93,1.0,1.0
speech,280.25,282.3,1.0,1.0
speech,284.25,285.3,1.0,1.0
speech,286.25,286.93,1.0,1.0
speech,287.25,288.3,1.0,1.0
speech,289.25,290.3,1.0,1.0
speech,297.25,298.3,1.0,1.0
speech,302.25,303.3,1.0,1.0
speech,308.25,309.3,1.0,1.0
speech,315.25,315.93,1.0,1.0
speech,326.25,327.3,1.0,1.0
speech,357.25,358.3,1.0,1.0
speech,361.25,362.3,1.0,1.0
speech,363.25,363.93,1.0,1.0
speech,364.57,364.93,1.0,1.0
speech,373.57,373.93,1.0,1.0
speech,381.25,381.93,1.0,1.0
speech,383.25,384.3,1.0,1.0
speech,385.57,385.93,1.0,1.0
speech,399.25,400.3,1.0,1.0
speech,400.57,400.93,1.0,1.0
speech,412.25,412.93,1.0,1.0
